id,turns,victory_status,winner,white_id,white_rating,black_id,black_rating
mpzYDfIK,49,resign,white,jjwrchess,1500,shivangithegenius,978
27zreJYy,3,resign,black,shivangithegenius,978,jjwrchess,1500
IRYkgI8N,7,resign,white,adnanraj,1343,shivangithegenius,978
tLnhk43J,35,mate,white,rajuppi,2436,shivangithegenius,978
iq3Kz06t,41,mate,white,rajuppi,2436,shivangithegenius,978
AAw1TiNN,5,resign,black,shivangithegenius,978,balkarec,1500
n4vRYUCW,7,resign,white,lucasimeon,1500,shivangithegenius,978
KYPdQv8e,53,mate,white,shivangithegenius,978,lucasimeon,1500
p30PeXvE,36,resign,black,lucasimeon,1500,shivangithegenius,978
PBS4FEld,8,resign,white,wing175,1521,gerfsh,1162
0lDqWVlz,3,resign,white,caramiecho72,1407,gerfsh,1500
O3wdIwg7,28,resign,white,mazyaraghgmail,1492,wpc96,1458
48ktrxLp,30,resign,black,anrk,1414,wpc96,1442
i2GBGO0R,44,resign,black,wpc96,1457,tbaruel,1294
QZSTu1aT,29,resign,white,acahn,1525,wpc96,1466
9tU9MM6P,37,resign,black,iskendermyucel,1207,oldpaths,1579
ztpC1S2c,49,resign,white,oldpaths,1567,david1488,1573
qc8aH5XL,32,resign,black,oldpaths,1578,lc777,1605
6sTz6t7D,25,resign,white,jordanfury,1939,oldpaths,1581
XuyVUkDi,40,mate,black,porquepepe,1618,oldpaths,1568
D5Oa4vGO,39,resign,white,gio1212,1755,oldpaths,1574
6QAiH2Yy,57,resign,white,oldpaths,1561,rubberchicken04,1596
l7top9ps,78,resign,black,berejokserg,1500,oldpaths,1554
nG3Of11I,61,resign,white,oldpaths,1544,trump216bc,1461
cUzM68JF,44,resign,black,oldpaths,1563,efer003,1335
NZSBXWl2,62,mate,black,oldpaths,1579,fcolpo,1470
DHuXFP6C,87,mate,white,chesschumpchamp,1617,oldpaths,1590
00R4UOcU,54,mate,black,aminox,1207,oldpaths,1588
IN15cBnB,54,resign,black,oldpaths,1595,sale0706,1547
WYOts2ME,37,resign,white,redar1,1855,oldpaths,1599
oWFQ8mnz,50,resign,white,oldpaths,1589,insequitur,1547
i2I8y9Xh,131,resign,white,oldpaths,1571,tb-123,1728
osPCRdxJ,48,resign,white,tb-123,1720,oldpaths,1579
Mi1AmkiI,47,resign,black,oldpaths,1579,iris_foxspring,2105
7kK30TmL,64,mate,black,zoro55,1768,oldpaths,1560
ThCXomTn,61,resign,white,oldpaths,1552,geburah,1436
4dH72B3d,57,mate,white,oldpaths,1536,urmil007,1667
4jRtIZTy,51,resign,white,serai,1521,oldpaths,1549
wNK2HdLb,58,mate,black,allahdeweswin,1251,oldpaths,1545
d62Tg4dc,71,resign,white,oldpaths,1537,antoniogallero,1408
TaSQfvww,114,resign,white,oldpaths,1522,matheuswillx,1512
Xwpzq87m,39,resign,white,euler_jr,1602,oldpaths,1532
AHmgnsKz,20,resign,black,oldpaths,1543,euler_jr,1593
MfNml1rl,48,resign,black,oldpaths,1556,krillnor,1539
mEAvshF2,34,mate,black,hoanghieudro2,1409,oldpaths,1548
ySsVdRfw,51,resign,white,oldpaths,1539,hoanghieudro2,1418
ylLqmXwb,69,resign,white,ehabhaddad,1603,oldpaths,1550
8mceLIXN,28,resign,white,oldpaths,1542,gabrielsol,1399
YmJpuJkM,62,resign,black,oldpaths,1546,crushmik,1877
PNNfempy,62,mate,black,amary33,1134,oldpaths,1535
TVfozmF5,85,mate,white,oldpaths,1513,remisero,1784
4LX77G3m,38,resign,white,oldpaths,1501,ryan94,1445
nBfSissu,14,resign,white,lotfibma,1500,hollyandclaws,1500
h1unxHlo,113,draw,draw,avelez8,1745,anonymous1705,1714
OIyTAHCP,62,resign,white,avelez8,1734,ars01,1748
bnCnIJSz,101,resign,white,salah04,1942,avelez8,1739
ZzWyY1f8,75,outoftime,white,avelez8,1724,vincenzo2000,1855
mkKSL3Ev,135,mate,white,majid_alsalhi,1951,avelez8,1729
aVwWNjNR,81,outoftime,white,avelez8,1726,pavankumarg,1388
DNUmSBH4,46,resign,black,avelez8,1735,mrmaccc,1806
Tlng5eqN,70,mate,black,hopefullman15,1597,avelez8,1728
wljkejE0,39,resign,white,laeca53,1743,avelez8,1738
iNZuj8bY,91,resign,white,totoymate,1721,avelez8,1750
Kan2JKOp,137,outoftime,white,avelez8,1746,frynoodles,1487
bCUwPEJ7,46,resign,black,jdalcheco,1744,avelez8,1735
zTwM10Si,18,resign,black,avelez8,1749,yolandoparada,1631
PBQ5Il7e,28,resign,black,avelez8,1769,murattibogurcu,1396
z1LTn4pe,40,resign,black,cdvh,1795,hunecel,1760
7NKtCk3B,111,mate,white,hafedfree,1729,cdvh,1795
TMtvbg3w,54,mate,black,decem,1795,cdvh,1784
0OXPfTEt,33,resign,white,cdvh,1770,japcan,1872
YzMf40DM,90,resign,black,cdvh,1783,raubstein,1721
q3NHAFFp,90,resign,black,ashishbarda,1884,cdvh,1768
Gz7Icasx,40,mate,black,omid163,1756,cdvh,1756
3n4poRIX,49,outoftime,white,cdvh,1724,capito2017,1958
XRuQPSzH,50,resign,black,chess-brahs,2036,cdvh,1706
XPZikam7,59,mate,white,cdvh,1706,dashy1,925
5SNh53F9,26,outoftime,black,mosheaugustyn,1244,sassou,1219
ezdEKpqG,23,mate,white,sassou,1215,memoryberat,921
WyQjriEX,118,mate,black,fatmat,1350,sassou,1201
vAOIY0jj,66,mate,black,sassou,1210,alpheus23,1280
gHld9WSr,120,draw,draw,sureka_akshat,1139,sassou,1212
dh2xQb3X,36,mate,black,sassou,1220,kapi77,1341
TKwuIzb6,26,mate,black,sassou,1234,cohiba_313,1359
s752sCLr,62,resign,black,sassou,1275,bagelsfu,1236
lKYmVLZt,37,resign,white,sabayossi,1433,sassou,1282
dRhehsEy,24,resign,black,trelynn17,1132,sassou,1276
7rbdtPwO,47,resign,white,sassou,1276,maougnassou,1308
ahwTovI0,37,resign,black,laeufer26,1228,sassou,1266
fgK91ojo,24,resign,black,sassou,1273,popsun,1409
Cmhkui8U,9,resign,white,mdaboczi,1338,sassou,1277
TRpFAEWd,47,mate,white,sassou,1263,marktop1,1336
btHFH9xr,85,mate,white,rougethunder,1316,sassou,1273
G9xaiPFl,39,mate,white,sassou,1248,shobik24,1253
RkMlSx4r,58,mate,black,maninayebi,1335,sassou,1233
Z1CTghfR,95,mate,white,sassou,1223,agilm,1189
X4QqWp8Q,2,resign,black,pune123,1443,sassou,1204
R6dF4yRx,97,mate,white,failedocean,1227,sassou,1216
PLxCc87r,12,draw,draw,sassou,1215,lumipa,1219
p7a4FGwp,30,resign,white,fastandbulbous420,1227,sassou,1227
3udM9T6k,43,mate,white,minimouf,1550,sassou,1225
hkMNenrh,11,resign,white,goodolddaystr,1325,sassou,1234
jrmlULM0,72,mate,black,gonzalogp98,1212,sassou,1221
JbLparSt,156,mate,black,sassou,1226,vladimir_shindin,1478
mqZFkCf3,18,resign,black,sassou,1228,martin74,1626
dZn9WLT5,77,mate,white,gotochess,1191,sassou,1228
MgL176RS,32,resign,black,quent0,1422,sassou,1210
V16nc5AF,35,resign,white,dangerflaps,1186,sassou,1223
GT8TdRlm,85,mate,white,sassou,1212,shazzam9999,1212
2P2u5f63,50,resign,black,sassou,1228,chessn00b47,1343
15nlkNRf,111,resign,white,japonxino,1865,isachess,1862
xwl41jna,65,outoftime,white,isachess,1852,roshan_ie,1852
1zRjgcqm,73,resign,white,cliff_walker,1833,isachess,1863
vfnLULoh,125,resign,white,isachess,1851,sergej1956,1918
ut6LIGPI,76,resign,black,isachess,1861,pogrib,1844
1KbSJtjs,65,outoftime,white,isachess,1853,tartetatin,1774
cqrATt9o,41,mate,white,juncinmestrella,1910,isachess,1862
deKfSOPy,59,resign,white,isachess,1851,robinhood76,1890
vQ1psjxd,70,resign,black,tohaimr7,1860,isachess,1840
k1qV5HHz,34,resign,white,zpectral-chess,1828,isachess,1848
QQ3iIM2V,69,outoftime,white,javier_temperley,1855,isachess,1858
GppFo58m,63,resign,white,isachess,1847,jadesummer,1895
BoDJGVyk,107,resign,white,jadesummer,1885,isachess,1856
tqirXAEm,58,resign,white,isachess,1847,borvel,1802
GLC4oNZR,34,resign,black,isachess,1847,homayoni,1856
3eLsB99C,100,outoftime,black,demetrio50,1840,isachess,1837
M6zMVwqK,80,resign,black,isachess,1848,maxpiz5,1806
yrQWTJVz,44,resign,black,isachess,1860,philiveykk,1820
aF6DiZZe,40,outoftime,black,azcatdave,1854,isachess,1849
0dm3RaQv,105,outoftime,white,fikr,1895,isachess,1859
BxxAvvER,50,resign,black,isachess,1866,samdooley,1965
fPPfEuu5,144,outoftime,draw,isachess,1866,teguhmaster,1843
Hysqcekp,81,resign,black,nf3isstrong,1835,isachess,1866
oaKcGCrO,69,resign,black,isachess,1877,dzigibau,1860
xMezmOBz,77,mate,white,edil1800,1849,isachess,1874
46AuHfcq,158,mate,black,humb,1835,isachess,1865
A7ddojjI,107,draw,draw,isachess,1866,claudiucojo,1835
SGqoxO3v,117,mate,white,isachess,1856,abikhoshnavaz,1829
pHJ5zXyE,44,resign,white,isachess,1845,sakkkakas,1846
WqMvA7iE,40,resign,black,seetripuu,1834,isachess,1835
s3v6jMaX,59,resign,white,seif22,1846,isachess,1845
hl3zLZmV,110,resign,black,isachess,1845,nicolo97,1917
PHYPEO42,30,resign,black,isachess,1858,tajbo4,1790
NgZ8xxFe,54,resign,black,nespil,1871,isachess,1847
1ZeBVc5V,69,resign,black,isachess,1846,turix,1869
OmwDxZpJ,178,mate,black,sergeylobanov,1843,isachess,1836
JewxmuG9,136,resign,black,clown_with_a_knife,1800,isachess,1826
0gTDO6Av,124,mate,black,taranga,1283,whfo,1267
t7vvcwqO,96,resign,black,phileasfrog,1290,taranga,1270
igSDFKv0,53,outoftime,white,patrizio67,1331,taranga,1281
facMwkUo,39,mate,white,piroz_xucestih,1304,taranga,1292
j5KY62yS,10,mate,black,taranga,1305,piroz_xucestih,1293
nyYULwUl,51,mate,white,lelik3310,1308,taranga,1317
h0YsGMhj,18,resign,black,cesar1945,1296,taranga,1305
o4T7dj5h,106,mate,black,marmoraka5,968,taranga,1305
VgNt0SSX,38,mate,black,taranga,1293,vikrant_dalvi,1466
UvqLtnPM,59,mate,white,xapoh,1500,taranga,1299
1b0kpInt,111,mate,white,taranga,1288,jamila1234,1232
dJEtAQp7,28,resign,black,taranga,1289,hknight_chess,2108
ZPHBiKBY,101,outoftime,white,blassterkal,1431,taranga,1289
I8odmGjb,15,mate,white,striker123,1806,taranga,1289
DijZlfMy,42,resign,white,taranga,1289,yugesh_naidu,1311
LyRqbD4d,118,resign,black,blassterkal,1431,taranga,1289
CvakmVNb,34,resign,black,taranga,1289,andreas636,1484
O037dETy,60,resign,black,taranga,1289,armourbuddy,1810
CxQlHSnq,66,resign,black,striker123,1806,taranga,1289
Q0jogkvi,21,outoftime,white,taranga,1289,snapper,1500
QurxyQkA,73,mate,white,moon50,1409,taranga,1297
mJ9VpdxV,159,mate,white,taranga,1280,moon50,1485
edYOVb5F,74,resign,white,taranga,1280,italiantranslator,1211
GstYv2mJ,28,mate,black,italiantranslator,1211,taranga,1280
dFQ5D7CS,112,mate,black,taranga,1281,naoufel,1765
2FpFvoMt,104,resign,black,taranga,1288,moon50,1454
cywOBEY5,40,mate,black,moon50,1560,taranga,1270
pnU8dLUx,44,mate,black,taranga,1274,moon50,1534
lE65efFF,150,draw,draw,taranga,1259,moon50,1663
bCVL4bZl,60,mate,black,trotil45,1614,taranga,1238
WUyPeYW8,37,mate,white,taranga,1221,hsanderr,1417
xRY7h8aS,88,outoftime,black,taranga,1222,madara21,1732
92UGyHOr,113,mate,white,hallowdance,1232,taranga,1234
UqxaqU7R,55,mate,white,taranga,1240,kingofchess2017,1219
TTzZc8gW,135,mate,white,harrygz,1590,dbschultz,1600
F7oADKYb,137,draw,draw,rinoooo,1568,dbschultz,1617
GoYkQEoS,97,outoftime,white,dbschultz,1500,nienkotter,1358
DszY6Pr4,33,resign,black,thegrim123321,1384,robin512,1325
FhJcOzZW,29,resign,black,thegrim123321,1384,jdominguez,1265
kKFslhlg,55,resign,black,thegrim123321,1384,sam7neeee,1950
VVkKGe4E,91,resign,white,thegrim123321,1377,batatinhaazul,1249
11VaOez1,53,resign,white,kingestee33,1375,thegrim123321,1389
2akR3Bit,49,mate,white,thegrim123321,1378,baconneggs,1361
mG2dEz4z,48,mate,black,deragon63,1261,thegrim123321,1371
xrZnbIGD,20,resign,black,thegrim123321,1380,brainiac007,1429
lOU3lddA,87,mate,white,thegrim123321,1369,danilo1961,1368
xYEVgk0W,11,resign,white,piechess97,1290,thegrim123321,1371
QnXuc72h,110,draw,draw,thegrim123321,1372,merthy70,1326
ejaSwZEr,24,resign,white,thekingdomcome,1361,thegrim123321,1383
3ZfA3gFa,23,resign,white,rookreversal,1217,thegrim123321,1399
WoOqoYEL,81,mate,white,thegrim123321,1387,ranie123,1447
EgoW2NiE,34,resign,black,arrigo,1474,thegrim123321,1387
ZctgRAt4,103,mate,white,thegrim123321,1377,tecnoch,1351
VuZ0dzhO,29,resign,black,thegrim123321,1389,dantesmontecristo,1339
1cvi4Z6K,22,resign,black,thegrim123321,1389,gallosantoss,1400
E83xJFBo,38,resign,white,morficle,1849,thegrim123321,1389
hVSNfLer,46,mate,black,annael88,1395,thegrim123321,1378
XyM6zTew,23,outoftime,white,thegrim123321,1370,ziogasparo14,1257
5sEcA5zs,31,resign,white,thegrim123321,1360,tcgil,1332
wXnKMk3N,51,resign,white,andre94,1311,thegrim123321,1360
YPVYpEvm,87,mate,white,lanas2007,1714,thegrim123321,1360
rth667hB,31,mate,white,thegrim123321,1354,onafets26,1217
rb7lq7dT,38,resign,black,shivcool,1245,thegrim123321,1346
hxMTrlzW,43,resign,white,thegrim123321,1346,batuhh,1099
hfNJtVnd,105,resign,white,thegrim123321,1336,an73r05,1287
ijtzfFex,87,outoftime,white,eideral,1580,krishubhi,1555
Uc64bIGE,36,mate,black,krishubhi,1555,eideral,1580
o1qwAoUy,38,resign,black,myalcin64,1649,eideral,1547
voV4ekhS,110,resign,black,tutubelezza,1426,eideral,1527
VUCRbEm8,48,resign,black,eideral,1557,fva,1547
LDLdtyDj,95,mate,white,eideral,1557,maumau62,1607
Gr1n1AdP,70,mate,black,maumau62,1607,eideral,1557
1TpYTEKR,42,resign,white,eideral,1557,arebest95,1632
AUzK1bj8,177,outoftime,white,au118,1535,eideral,1609
R5SfPQiB,114,mate,black,abel4865,1713,eideral,1558
VXdhNTk5,57,resign,white,eideral,1497,abel4865,1730
kTRSenmv,57,resign,white,tca1004,1437,eideral,1552
FE7B5vY8,82,draw,draw,pkgirpade,1516,eideral,1552
PEIWrbTQ,29,mate,white,eideral,1513,atorius,1456
8hlHAFPF,70,resign,black,pablocas,1355,eideral,1478
BwBDbyKq,97,mate,white,tabellaria,1638,grubear,1614
E41MaCB9,99,resign,white,tabellaria,1613,rangelelbano,1934
UVbhSOnA,74,resign,black,f2f,1865,tabellaria,1613
HYMGpINp,48,mate,black,playforpleasure,1776,tabellaria,1587
L9UeFctE,77,mate,white,tabellaria,1568,mattieuw2,1593
DbYHY9Bc,80,resign,black,mattieuw2,1605,tabellaria,1546
7fftvkF6,35,resign,white,tabellaria,1518,snowden,1709
IlQp1eqc,33,resign,white,sombragris,1728,tabellaria,1527
atgsbOBS,87,mate,white,tabellaria,1515,blackphish,1379
Kx4jd1Oo,40,resign,black,tabellaria,1538,jabar72,1501
5vg0pHEg,54,resign,black,jabar72,1511,tabellaria,1516
5uNNVd3c,67,resign,black,little---a,1464,tabellaria,1495
aGVLNoTY,21,mate,white,tabellaria,1470,little---a,1475
W4eyc9dH,14,mate,black,pasch0s,1490,tabellaria,1440
l2My0J1h,71,resign,white,nadanadora,1611,xad55toque,1974
eRHQGmr2,72,outoftime,black,nadanadora,1611,xtreh,1945
D45fTp2y,62,resign,black,vpull9,1584,nadanadora,1611
lTOKfWMv,48,resign,black,ramzaid,1942,nadanadora,1611
sd7oPNum,6,outoftime,black,mejjes,1217,nadanadora,1611
xLmd5oZZ,69,draw,draw,nadanadora,1611,qaisahleyorof,2059
T3gAyyeH,72,resign,white,nadanadora,1611,googol100,1478
HDPjH5bD,40,mate,black,googol100,1486,nadanadora,1552
cFSW3SMi,29,mate,white,nadanadora,1453,googol100,1496
wsNnVC6Y,44,resign,white,nadanadora,1340,gatorman,1326
UxvU6EN4,59,mate,white,corvusossifragus,1532,nadanadora,1500
mjXUQnww,115,resign,white,doom12384,1560,ramirorldn,1557
lC84DiKq,70,resign,black,doom12384,1571,vektor-mw,1577
A17jdHS8,36,resign,black,doom12384,1580,eze33,1617
t5ixT6HN,83,resign,white,quarks_sparks,1531,doom12384,1593
8uZRNw8n,99,draw,draw,lagos16,1449,doom12384,1597
vwQzM7Sg,43,resign,white,pepe100,1743,doom12384,1604
I4zyNfPo,89,resign,white,runmael,1604,doom12384,1614
6eQ92lsE,96,resign,black,nitegazer,1550,doom12384,1605
8BLA0IOl,116,mate,black,pipppone,1630,doom12384,1605
pMcUNK5E,78,mate,black,dimalesh,1475,doom12384,1605
Kzq2t2lB,77,mate,white,doom12384,1605,dimalesh,1475
a0VRhASu,70,mate,black,dimalesh,1475,doom12384,1605
5gymGRgt,27,resign,white,augustbecarre,1570,doom12384,1605
Vyrkyifp,102,resign,black,doom12384,1605,jejeh,1500
exEzRx87,21,resign,white,jejeh,1500,doom12384,1605
i3YfxFdL,33,resign,white,doom12384,1605,jejeh,1500
8ctKV1wh,74,resign,black,raavi,1513,doom12384,1605
jVXtr42v,65,resign,white,ernestillo,1790,bwalmer,1874
ZXM2sX4y,81,resign,white,bwalmer,1864,ajaysharma261253,1805
UFKSc5hH,45,resign,black,atilioss,1496,bwalmer,1861
jhA7bDVC,52,resign,white,bwalmer,1851,yura_kudelia_12,1853
vc2eo2Sh,51,resign,white,spendius,1861,bwalmer,1863
WgPBuJD6,48,draw,draw,tfeng,1618,wahana81,1609
WtFUCKgj,20,resign,black,wahana81,1620,tfeng,1607
EQDn1BA7,50,mate,black,tfeng,1621,ilkayus,1496
AbDhfpnX,98,resign,black,tfeng,1633,thesmallbang,1581
Ger5Zno3,106,mate,black,thesmallbang,1623,tfeng,1623
JHH8PcNq,19,resign,white,tfeng,1612,mikeu,1614
8Ie5Oesp,22,resign,white,famiss11,1605,tfeng,1624
HN5jnzyI,114,draw,draw,bishopkerry01,1693,tfeng,1621
GRAng26s,69,resign,black,tfeng,1631,bishopkerry01,1684
TaaLCuw6,34,mate,black,vineetg101,1636,tfeng,1619
R2JFua6L,40,mate,black,tfeng,1613,kei0075,1617
LcPvndOa,108,resign,black,tfeng,1627,facurezzo,1495
oWSctoZp,27,resign,white,facurezzo,1480,tfeng,1643
m793jf7F,63,resign,white,tfeng,1631,wahidmahmom90,1652
UaulsArt,31,resign,white,toniors,1687,tfeng,1641
EL3LK94E,71,resign,white,tfeng,1630,marcel55,1638
PcXdgcJJ,92,mate,black,locomotora,1414,tfeng,1624
XGG3VNC9,47,mate,white,tfeng,1619,locomotora,1419
n1hgevhj,56,resign,black,tfeng,1629,ewama,1659
q5P7mAB4,48,resign,white,ewama,1649,tfeng,1639
sl4N6t22,124,resign,black,marcospe1964,1677,tfeng,1627
DhoFXYNH,49,mate,white,fox22634,1705,tfeng,1636
q6FmC8Id,64,resign,black,tfeng,1647,traverru,1635
2CvZyh4h,29,resign,white,tfeng,1637,tmanu,1627
Psin3ost,45,resign,white,tfeng,1626,mstelles,1631
AaSSYIy6,96,resign,black,micmeta,1602,tfeng,1615
0lWtXgXo,92,resign,black,shafer24,1634,tfeng,1603
IC0EFtA5,40,mate,black,ironboy,1611,tfeng,1591
L8gPU593,123,mate,white,tfeng,1579,ironboy,1623
0PVGpBvD,129,mate,white,hetismogelijk,1995,tfeng,1581
2icRDIZI,120,mate,black,bomardan,1589,tfeng,1569
ktRhE4Ky,71,draw,draw,tfeng,1570,rmorais23,1555
5AYA7mBv,97,mate,white,tfeng,1559,eyany,1557
qGThbTuM,60,resign,white,eyany,1546,tfeng,1571
pLR3kRgy,57,resign,white,dandisd,1550,tfeng,1567
EdKqO9z1,38,resign,white,tfeng,1560,agusfil,1419
sAjNrfSm,111,resign,white,yalicapkini,1840,tfeng,1564
BON8sFeZ,119,resign,black,guber1962,1660,tfeng,1549
PREaBSqk,33,mate,white,tfeng,1534,gardoim,1678
CmAh08GF,32,resign,white,tarekjrd,1789,tfeng,1538
FpZiajAh,96,resign,black,rajapirka,1841,tienc12345,1921
uFREIMDF,92,draw,draw,tienc12345,1926,elham1,1737
4Wozw7Zh,64,resign,black,albinas,1629,tienc12345,1887
GIoSZf5k,10,resign,black,valmasia3,1860,tienc12345,1712
9r2yzwRq,85,resign,white,tienc12345,1500,dmitriy8888,1568
e4UoYNOg,40,resign,black,joselito-carnaval,1780,arjunshenoyk,2132
sn4zdyQb,58,resign,black,rustam9,966,iamasd1,1124
ppPlxT3Q,26,outoftime,black,halma,884,rustam9,951
D0idNTxu,4,outoftime,black,rustam9,945,b3nszy,1070
yTbYtCF6,118,mate,black,rustam9,971,bohne,1149
AEIBxJhK,11,mate,white,cris865,1238,rustam9,985
mwcADhNn,163,outoftime,draw,rustam9,972,granham,1247
ygHSZzNE,95,mate,white,bilabrin,1107,rustam9,961
9MESu3hH,37,resign,black,rustam9,974,fiksse,1129
tBXOrjlO,101,mate,white,raza00,1203,rustam9,970
J5DYrnEf,80,outoftime,black,rustam9,998,juniohispano,937
o5ZRUXrY,78,resign,black,rustam9,1016,rainbowstream,1126
e5CGewyU,89,outoftime,draw,rustam9,1025,madmadge,1153
fV2cuf3p,42,mate,black,rustam9,1047,brainsurgery,1151
baOLL2ej,8,outoftime,black,gabriel_ml,998,rustam9,1016
tHHd8ejz,101,outoftime,white,gus247,1127,rustam9,1044
E9Es660b,65,outoftime,white,rustam9,1020,cromanoide,1200
0Hl7FLEs,60,mate,black,rustam9,1069,ck666,1071
6pOeX4hN,71,draw,draw,ck666,1071,rustam9,1068
zALflmF8,44,resign,black,rustam9,1115,davidmcdavidface,1223
F8euV2Zp,20,resign,black,rustam9,1190,danst3rs,1213
VC0euQZC,41,resign,white,sergeares,1337,rustam9,1337
F0rtsvLh,40,resign,black,rustam9,1500,mijndochterenik2151,1500
vI6soB0y,27,resign,white,olaih85,1500,wk2407,1571
RHqtUgcA,59,resign,black,spikyturtle,1367,josepoliutla,1866
pCdIqYQn,19,mate,white,lodowy,1590,spikyturtle,1373
7DyaFpEQ,50,mate,black,spikyturtle,1377,vitruvio,1667
gDy9stbN,34,resign,black,master22ar,1558,spikyturtle,1358
4C9wlcMh,15,mate,white,rfabian,1476,spikyturtle,1367
J2JnXESd,52,resign,black,spikyturtle,1376,rfabian,1469
fYXWmMQo,65,mate,white,rfabian,1460,spikyturtle,1386
0izXEQL0,67,resign,white,spikyturtle,1372,chess133,1408
C7ZN9Vt6,31,resign,black,spikyturtle,1373,zuzino,2148
nXAMBzZC,130,mate,black,senormontypants,1500,jutton1,1395
PDmTWzdY,125,mate,white,pllm,1382,jutton1,1414
l33LvAGO,76,resign,black,ahmedham,1320,jutton1,1400
VVMmBXVj,121,resign,white,jutton1,1383,ahmedham,1330
J7LsFrHs,53,resign,white,jutton1,1383,febozn,1242
nrOeTNGE,116,outoftime,black,agabek1948,1469,jutton1,1357
o8It5NwS,47,resign,white,deekay17,959,jutton1,1357
KYR2S7f1,53,resign,white,jutton1,1357,deekay17,959
lUfS2I5H,76,mate,black,deekay17,959,jutton1,1357
9GK7Wbwa,110,draw,draw,cagliostro97,1588,metaxas,1691
RQKVDRu3,67,mate,white,cagliostro97,1541,gennai,1586
gzD3S9qf,17,resign,white,cagliostro97,1517,fora-franc,1320
aqIy0Ek9,39,mate,white,putin55,1569,cagliostro97,1569
F9LhXEvk,94,resign,black,qc-patzer,1563,cagliostro97,1498
scqVJjj2,37,resign,white,robbm,1903,cagliostro97,1512
BoBZJpRS,37,mate,white,andrea78,1612,energique,1450
5VAOl0rA,34,resign,white,sumipcg,1327,energique,1450
TMNMnaD7,41,outoftime,white,jonikss,1245,energique,1450
ERl5w1Lb,30,resign,black,rolando6,1921,energique,1451
XLvG0Fxw,51,resign,white,mahdifoladi,1462,energique,1464
kI6eU49k,79,mate,white,energique,1450,transporter7506,1486
wbR4KA2i,83,resign,white,energique,1439,p4i2p0e,1418
eTcONlGD,14,resign,black,adcz,1728,sreeraman,1500
AFrSI2mE,21,resign,white,gardydlshad,1547,kyanh,1563
